EventId,TeamId,MatchId,PlayerId,GameTime,X,Y,X_rec,Y_rec,Evaluation,IsCross,IsCorner,InGameSection,NumDefInBox,NumAttInBox,ScoreHome,ScoreGuest,MatchStateForTeam,AnyRedBeforeCross,RedForOwnTeam,RedForOppTeam,ShotEventId,ShotPlayerId,ShotGameTime,ShotTimeSec,ShotX,ShotY,ShotxG,ShotResult,ShotInGameSection,ShotNumDefInBox,ShotNumAttInBox
18704100000097,DFL-CLU-00000H,DFL-MAT-J040BL,DFL-OBJ-J01SN8,004:23:39,-43.77,-24.97,-45.6,-0.02,successfullyCompleted,True,False,firstHalf,10.0,6.0,0,0,drawing,False,False,False,18704100000099,DFL-OBJ-0025RV,004:24:75,264.75,-45.61,-0.07,0.1421,shotWide,firstHalf,10.0,6.0
18704100000936,DFL-CLU-00000H,DFL-MAT-J040BL,DFL-OBJ-J0157X,058:02:07,47.06,-34.28,45.74,-9.43,unsuccessful,True,False,secondHalf,8.0,5.0,0,1,losing,False,False,False,18704100000939,DFL-OBJ-J01BGD,058:07:03,3487.03,30.06,-5.91,0.025,blockedShot,secondHalf,9.0,5.0
18704100001396,DFL-CLU-00000S,DFL-MAT-J040BL,DFL-OBJ-0002IF,087:09:15,-36.25,-25.85,-43.75,-2.37,successfullyCompleted,True,False,secondHalf,3.0,3.0,0,2,winning,False,False,False,18704100001398,DFL-OBJ-J01742,087:10:76,5230.76,-44.16,-2.6,0.117,shotWide,secondHalf,5.0,5.0
18702500000427,DFL-CLU-000010,DFL-MAT-J040B5,DFL-OBJ-J017TJ,029:48:31,-46.93,-25.19,-45.83,5.9,successfullyCompleted,True,False,firstHalf,5.0,2.0,1,0,losing,True,True,False,18702500000429,DFL-OBJ-002GJF,029:50:59,1790.59,-45.83,5.9,0.062,shotWide,firstHalf,7.0,5.0
18702500000478,DFL-CLU-00000D,DFL-MAT-J040B5,DFL-OBJ-0025AD,034:10:51,42.64,25.81,44.08,0.97,successfullyCompleted,True,False,firstHalf,3.0,3.0,1,0,winning,True,False,True,18702500000480,DFL-OBJ-002G7A,034:12:03,2052.03,44.17,0.9,0.1002,savedShot,firstHalf,7.0,4.0
18702500000848,DFL-CLU-000010,DFL-MAT-J040B5,DFL-OBJ-J01KEV,051:58:23,49.13,-31.84,47.26,1.78,unsuccessful,True,False,secondHalf,9.0,6.0,2,0,losing,True,True,False,18702500000851,DFL-OBJ-J017TJ,052:01:88,3121.88,34.84,7.61,0.0775,blockedShot,secondHalf,10.0,6.0
18702500001220,DFL-CLU-00000D,DFL-MAT-J040B5,DFL-OBJ-J01K8D,076:42:07,-33.91,-29.23,-42.62,0.77,successfullyCompleted,True,False,secondHalf,4.0,3.0,2,0,winning,True,False,True,18702500001221,DFL-OBJ-0028LS,076:43:80,4603.8,-42.59,0.87,0.1135,shotWide,secondHalf,6.0,3.0
18702500001342,DFL-CLU-00000D,DFL-MAT-J040B5,DFL-OBJ-0028I9,086:55:76,-41.46,-28.98,-46.81,0.42,successfullyCompleted,True,False,secondHalf,7.0,7.0,3,0,winning,True,False,True,18702500001344,DFL-OBJ-002GEY,086:57:36,5217.36,-46.98,0.64,0.2547,successfulShot,secondHalf,9.0,7.0
18702500001375,DFL-CLU-00000D,DFL-MAT-J040B5,DFL-OBJ-0028I9,089:50:00,-34.35,-24.87,-46.93,5.54,successfullyCompleted,True,False,secondHalf,4.0,3.0,4,0,winning,True,False,True,18702500001376,DFL-OBJ-002GEY,089:51:76,5391.76,-47.39,5.38,0.2381,shotWide,secondHalf,7.0,3.0
18702700000215,DFL-CLU-00000F,DFL-MAT-J040B7,DFL-OBJ-J01TPA,014:00:36,-33.72,-30.35,-44.96,5.03,successfullyCompleted,True,False,firstHalf,5.0,4.0,1,1,drawing,False,False,False,18702700000217,DFL-OBJ-0025W7,014:02:67,842.67,-45.41,5.16,0.0823,savedShot,firstHalf,7.0,4.0
