season,league,match_id,crosses_openplay,shot_links,share_links_per_cross
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPW,24,4,0.16666666666666666
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPX,16,4,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPY,23,4,0.17391304347826086
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPZ,18,4,0.2222222222222222
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ0,19,10,0.5263157894736842
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ1,22,3,0.13636363636363635
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ2,19,5,0.2631578947368421
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ3,21,4,0.19047619047619047
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ4,34,6,0.17647058823529413
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ5,17,5,0.29411764705882354
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ6,23,4,0.17391304347826086
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ7,14,3,0.21428571428571427
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ8,17,2,0.11764705882352941
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQ9,12,1,0.08333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQA,35,5,0.14285714285714285
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQB,29,3,0.10344827586206896
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQC,20,5,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQD,10,4,0.4
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQE,17,1,0.058823529411764705
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQF,16,0,0.0
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQG,16,5,0.3125
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQH,12,4,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQI,19,10,0.5263157894736842
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQJ,22,5,0.22727272727272727
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQK,15,3,0.2
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQL,24,9,0.375
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQM,13,4,0.3076923076923077
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQN,16,4,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQO,18,7,0.3888888888888889
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQP,21,6,0.2857142857142857
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQQ,19,4,0.21052631578947367
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQR,15,3,0.2
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YQS,27,6,0.2222222222222222
