match_id,end_min_first_half,end_min_second_half,duration_first_half,duration_second_half
DFL-MAT-J03WRR,48,95,48,47
DFL-MAT-J03WRS,46,94,46,48
DFL-MAT-J03WRT,48,95,48,47
DFL-MAT-J03WRU,46,95,46,49
DFL-MAT-J03WRV,47,101,47,54
DFL-MAT-J03WRW,48,95,48,47
DFL-MAT-J03WRX,47,96,47,49
DFL-MAT-J03WRY,47,94,47,47
DFL-MAT-J03WRZ,50,97,50,47
DFL-MAT-J03WS0,47,94,47,47
DFL-MAT-J03WS1,50,95,50,45
DFL-MAT-J03WS2,49,95,49,46
DFL-MAT-J03WS3,47,97,47,50
DFL-MAT-J03WS4,49,97,49,48
DFL-MAT-J03WS5,49,92,49,43
DFL-MAT-J03WS6,48,95,48,47
DFL-MAT-J03WS7,53,95,53,42
DFL-MAT-J03WS8,48,93,48,45
DFL-MAT-J03WS9,49,95,49,46
DFL-MAT-J03WSA,48,96,48,48
DFL-MAT-J03WSB,46,95,46,49
DFL-MAT-J03WSC,46,96,46,50
DFL-MAT-J03WSD,48,95,48,47
DFL-MAT-J03WSE,47,94,47,47
DFL-MAT-J03WSF,49,96,49,47
DFL-MAT-J03WSG,48,94,48,46
DFL-MAT-J03WSH,47,98,47,51
DFL-MAT-J03WSI,47,96,47,49
DFL-MAT-J03WSJ,48,95,48,47
DFL-MAT-J03WSK,49,94,49,45
DFL-MAT-J03WSL,48,95,48,47
DFL-MAT-J03WSM,47,96,47,49
DFL-MAT-J03WSN,48,95,48,47
DFL-MAT-J03WSO,46,97,46,51
DFL-MAT-J03WSP,46,96,46,50
DFL-MAT-J03WSQ,53,96,53,43
DFL-MAT-J03WSR,48,96,48,48
DFL-MAT-J03WSS,47,94,47,47
DFL-MAT-J03WST,49,94,49,45
DFL-MAT-J03WSU,46,95,46,49
DFL-MAT-J03WSV,49,95,49,46
DFL-MAT-J03WSW,47,95,47,48
DFL-MAT-J03WSX,50,98,50,48
DFL-MAT-J03WSY,47,95,47,48
DFL-MAT-J03WSZ,48,98,48,50
DFL-MAT-J03WT0,50,96,50,46
DFL-MAT-J03WT1,46,94,46,48
DFL-MAT-J03WT2,51,94,51,43
DFL-MAT-J03WT3,46,98,46,52
DFL-MAT-J03WT4,49,93,49,44
DFL-MAT-J03WT5,50,95,50,45
DFL-MAT-J03WT6,49,94,49,45
DFL-MAT-J03WT7,46,92,46,46
DFL-MAT-J03WT8,47,93,47,46
DFL-MAT-J03WT9,50,93,50,43
DFL-MAT-J03WTA,48,96,48,48
DFL-MAT-J03WTB,51,97,51,46
DFL-MAT-J03WTC,49,96,49,47
DFL-MAT-J03WTD,47,94,47,47
DFL-MAT-J03WTE,46,95,46,49
DFL-MAT-J03WTF,47,96,47,49
DFL-MAT-J03WTG,48,97,48,49
DFL-MAT-J03WTH,48,95,48,47
DFL-MAT-J03WTI,48,95,48,47
DFL-MAT-J03WTJ,47,91,47,44
DFL-MAT-J03WTK,46,96,46,50
DFL-MAT-J03WTL,49,96,49,47
DFL-MAT-J03WTM,48,94,48,46
DFL-MAT-J03WTN,48,95,48,47
DFL-MAT-J03WTO,48,96,48,48
DFL-MAT-J03WTP,47,99,47,52
DFL-MAT-J03WTQ,49,95,49,46
DFL-MAT-J03WTR,49,99,49,50
DFL-MAT-J03WTS,47,97,47,50
DFL-MAT-J03WTT,48,98,48,50
DFL-MAT-J03WTU,49,95,49,46
DFL-MAT-J03WTV,50,94,50,44
DFL-MAT-J03WTW,49,92,49,43
DFL-MAT-J03WTX,49,96,49,47
DFL-MAT-J03WTY,48,96,48,48
DFL-MAT-J03WTZ,49,94,49,45
DFL-MAT-J03WU0,46,96,46,50
DFL-MAT-J03WU1,47,98,47,51
DFL-MAT-J03WU2,46,95,46,49
DFL-MAT-J03WU3,50,97,50,47
DFL-MAT-J03WU4,47,96,47,49
DFL-MAT-J03WU5,46,97,46,51
DFL-MAT-J03WU6,48,94,48,46
DFL-MAT-J03WU7,46,94,46,48
DFL-MAT-J03WU8,48,95,48,47
DFL-MAT-J03WU9,47,96,47,49
DFL-MAT-J03WUA,46,94,46,48
DFL-MAT-J03WUB,48,96,48,48
DFL-MAT-J03WUC,46,95,46,49
DFL-MAT-J03WUD,47,96,47,49
DFL-MAT-J03WUE,47,96,47,49
DFL-MAT-J03WUF,47,93,47,46
DFL-MAT-J03WUG,47,94,47,47
DFL-MAT-J03WUH,48,94,48,46
DFL-MAT-J03WUI,48,97,48,49
DFL-MAT-J03WUJ,49,96,49,47
DFL-MAT-J03WUK,51,94,51,43
DFL-MAT-J03WUL,49,95,49,46
DFL-MAT-J03WUM,48,98,48,50
DFL-MAT-J03WUN,47,97,47,50
DFL-MAT-J03WUO,46,95,46,49
DFL-MAT-J03WUP,50,96,50,46
DFL-MAT-J03WUQ,46,93,46,47
DFL-MAT-J03WUR,48,96,48,48
DFL-MAT-J03WUS,47,95,47,48
DFL-MAT-J03WUT,46,95,46,49
DFL-MAT-J03WUU,47,95,47,48
DFL-MAT-J03WUV,47,94,47,47
DFL-MAT-J03WUW,47,96,47,49
DFL-MAT-J03WUX,46,94,46,48
DFL-MAT-J03WUY,49,96,49,47
DFL-MAT-J03WUZ,47,96,47,49
DFL-MAT-J03WV0,49,96,49,47
DFL-MAT-J03WV1,47,96,47,49
DFL-MAT-J03WV2,47,100,47,53
DFL-MAT-J03WV3,50,93,50,43
DFL-MAT-J03WV4,50,97,50,47
DFL-MAT-J03WV5,49,94,49,45
DFL-MAT-J03WV6,49,95,49,46
DFL-MAT-J03WV7,52,97,52,45
DFL-MAT-J03WV8,48,99,48,51
DFL-MAT-J03WV9,48,94,48,46
DFL-MAT-J03WVA,49,97,49,48
DFL-MAT-J03WVB,48,96,48,48
DFL-MAT-J03WVC,49,91,49,42
DFL-MAT-J03WVD,48,95,48,47
DFL-MAT-J03WVE,48,94,48,46
DFL-MAT-J03WVF,46,92,46,46
DFL-MAT-J03WVG,49,95,49,46
DFL-MAT-J03WVH,48,95,48,47
DFL-MAT-J03WVI,51,105,51,54
DFL-MAT-J03WVJ,48,91,48,43
DFL-MAT-J03WVK,48,92,48,44
DFL-MAT-J03YDU,48,96,48,48
DFL-MAT-J03YDV,48,97,48,49
DFL-MAT-J03YDW,51,96,51,45
DFL-MAT-J03YDX,49,96,49,47
DFL-MAT-J03YDY,49,97,49,48
DFL-MAT-J03YDZ,52,96,52,44
DFL-MAT-J03YE0,52,95,52,43
DFL-MAT-J03YE1,53,99,53,46
DFL-MAT-J03YE2,52,91,52,39
DFL-MAT-J03YE3,49,95,49,46
DFL-MAT-J03YE4,52,96,52,44
DFL-MAT-J03YE5,47,98,47,51
DFL-MAT-J03YE6,50,97,50,47
DFL-MAT-J03YE7,52,94,52,42
DFL-MAT-J03YE8,47,99,47,52
